MEASURED
translation:
;3;3;0


ESTIMATED;HTC_Vive
REFERENCE;ROOT

vr_base
translation:
;-0.035;-0.03;1.09
rotation:
;0.653281;-0.270598;-0.270598;0.653281

ROOT
translation:
;0;0;0
rotation:
;0;0;0;1

tracker3.0_LHR_32DA5600
translation:
;3.00744;2.96816;-0.0332651
rotation:
;0.332919;0.942894;-0.010794;-0.000134831

lighthouse_LHB_D5E9E27C
translation:
;-0.035;-0.03;1.09
rotation:
;0.663501;-0.277333;-0.263853;0.642833

