2.011;3.064;0.957;-1.723;-0.002;2.516
2.017;3.060;0.974;-1.729;0.001;2.512
2.020;3.061;0.983;-1.731;-0.001;2.512
2.021;3.060;0.987;-1.732;-0.002;2.512
2.023;3.062;0.990;-1.733;-0.002;2.512
2.023;3.062;0.990;-1.733;-0.002;2.512
2.025;3.059;0.991;-1.734;0.001;2.510
2.025;3.057;0.991;-1.734;0.002;2.510
2.016;3.064;0.970;-1.727;-0.001;2.514
2.022;3.060;0.981;-1.731;0.001;2.512
2.012;3.064;0.964;-1.725;-0.001;2.515
2.029;3.054;0.990;-1.734;0.003;2.508
1.988;3.060;1.055;-1.754;-0.009;2.523
2.004;3.054;1.022;-1.744;-0.003;2.516
2.014;3.058;1.007;-1.739;-0.003;2.514
2.010;3.064;0.978;-1.729;-0.003;2.516
2.022;3.059;0.988;-1.733;0.000;2.511
2.022;3.059;0.988;-1.733;0.000;2.511
2.033;3.051;1.001;-1.737;0.004;2.506
2.020;3.065;0.973;-1.728;0.000;2.513
1.995;3.079;0.968;-1.727;0.003;2.521
2.009;3.062;0.968;-1.727;0.005;2.514
2.011;3.061;0.948;-1.721;0.005;2.514
2.011;3.066;0.949;-1.721;0.001;2.515
2.012;3.071;0.950;-1.720;-0.001;2.516
2.018;3.063;0.970;-1.727;0.001;2.513
2.023;3.061;0.981;-1.731;0.002;2.511
2.014;3.065;0.965;-1.725;-0.000;2.514
2.020;3.066;0.979;-1.730;-0.002;2.513
2.016;3.070;0.965;-1.725;-0.003;2.515
2.010;3.071;0.957;-1.723;-0.003;2.517
2.017;3.064;0.974;-1.728;-0.003;2.514
2.023;3.064;0.984;-1.731;0.000;2.512
2.016;3.068;0.967;-1.726;-0.001;2.515
2.014;3.071;0.958;-1.723;-0.002;2.516
2.041;3.038;0.995;-1.735;-0.001;2.502
2.027;3.057;0.973;-1.728;-0.002;2.510
2.017;3.062;0.961;-1.724;-0.003;2.514
2.021;3.060;0.976;-1.729;0.000;2.511
2.043;3.050;0.949;-1.720;-0.001;2.504
2.035;3.051;0.959;-1.724;0.003;2.506
2.030;3.055;0.976;-1.729;-0.000;2.509
2.058;3.032;0.999;-1.736;-0.004;2.497
2.044;3.047;0.996;-1.735;-0.000;2.503
2.028;3.061;0.973;-1.728;-0.002;2.510
2.028;3.066;0.983;-1.731;-0.002;2.511
2.046;3.053;0.952;-1.721;-0.002;2.504
2.028;3.063;0.951;-1.721;-0.003;2.511
2.026;3.059;0.971;-1.727;0.000;2.510
2.024;3.057;0.981;-1.731;0.002;2.510
2.024;3.056;0.986;-1.732;0.003;2.509
2.016;3.062;0.967;-1.726;-0.000;2.513
