0.970;0.983;0.986;-1.851;0.010;2.382
0.968;0.982;0.986;-1.852;0.012;2.381
0.970;0.978;0.991;-1.856;0.013;2.377
0.971;0.976;0.995;-1.860;0.012;2.375
0.974;0.970;1.003;-1.867;0.005;2.374
0.973;0.978;0.993;-1.857;0.007;2.378
0.970;0.981;0.990;-1.855;0.011;2.379
0.969;0.982;0.989;-1.854;0.013;2.380
0.966;0.985;0.990;-1.855;0.014;2.384
0.962;0.988;0.987;-1.853;0.012;2.389
0.972;0.974;0.993;-1.858;0.004;2.378
0.969;0.978;0.994;-1.859;0.010;2.379
0.970;0.982;0.988;-1.853;0.010;2.381
0.964;0.984;0.991;-1.857;0.014;2.384
0.970;0.982;0.990;-1.854;0.014;2.379
0.971;0.979;0.988;-1.853;0.014;2.377
0.970;0.981;0.989;-1.854;0.013;2.379
0.967;0.981;0.992;-1.857;0.015;2.380
0.966;0.981;0.994;-1.858;0.016;2.380
0.969;0.983;0.988;-1.853;0.013;2.382
0.970;0.984;0.986;-1.851;0.011;2.382
0.971;0.979;0.993;-1.857;0.011;2.378
0.970;0.980;0.987;-1.853;0.011;2.380
0.974;0.979;0.987;-1.852;0.009;2.378
0.971;0.981;0.988;-1.852;0.012;2.379
0.969;0.981;0.987;-1.853;0.013;2.380
0.975;0.970;0.995;-1.860;0.006;2.373
0.979;0.972;0.989;-1.854;0.007;2.371
0.974;0.978;0.989;-1.854;0.010;2.377
0.972;0.982;0.986;-1.851;0.010;2.380
0.975;0.981;0.985;-1.849;0.009;2.378
0.971;0.980;0.987;-1.852;0.011;2.380
0.973;0.979;0.990;-1.854;0.011;2.378
0.971;0.981;0.989;-1.854;0.013;2.379
0.972;0.979;0.988;-1.853;0.013;2.377
0.960;0.983;0.995;-1.861;0.022;2.383
0.964;0.983;0.991;-1.857;0.018;2.382
0.964;0.983;0.991;-1.857;0.018;2.382
0.964;0.984;0.989;-1.855;0.015;2.384
0.971;0.982;0.987;-1.852;0.012;2.380
0.970;0.976;0.994;-1.859;0.010;2.378
0.971;0.981;0.988;-1.853;0.010;2.380
0.968;0.986;0.986;-1.851;0.011;2.385
0.967;0.983;0.991;-1.856;0.014;2.382
0.967;0.983;0.991;-1.856;0.014;2.382
0.963;0.985;0.993;-1.858;0.017;2.384
0.966;0.984;0.992;-1.857;0.014;2.383
0.969;0.985;0.987;-1.852;0.012;2.383
0.970;0.985;0.985;-1.850;0.011;2.383
0.966;0.978;0.998;-1.863;0.018;2.377
0.966;0.980;0.992;-1.858;0.015;2.380
0.967;0.981;0.990;-1.855;0.015;2.380
0.965;0.981;0.997;-1.861;0.017;2.380
0.969;0.977;0.998;-1.862;0.014;2.377
0.965;0.982;0.993;-1.858;0.016;2.381
0.969;0.983;0.989;-1.853;0.013;2.382
0.972;0.980;0.990;-1.855;0.011;2.378
0.972;0.972;0.996;-1.861;0.006;2.375
0.969;0.977;0.995;-1.860;0.012;2.378
0.963;0.986;0.989;-1.854;0.012;2.387
0.968;0.987;0.986;-1.851;0.011;2.385
0.967;0.979;0.994;-1.859;0.015;2.379
0.968;0.981;0.991;-1.856;0.015;2.380
0.970;0.977;0.997;-1.861;0.008;2.379
0.964;0.981;0.996;-1.861;0.014;2.383
0.966;0.982;0.992;-1.857;0.014;2.382
0.969;0.984;0.987;-1.852;0.012;2.382
0.976;0.972;0.993;-1.858;0.004;2.374
0.971;0.981;0.989;-1.854;0.008;2.381
0.979;0.980;0.984;-1.848;0.006;2.376
0.973;0.980;0.988;-1.852;0.009;2.379
0.970;0.980;0.992;-1.856;0.013;2.379
0.970;0.980;0.992;-1.856;0.013;2.379
0.971;0.984;0.986;-1.850;0.012;2.381
0.971;0.984;0.986;-1.850;0.012;2.381
0.969;0.982;0.986;-1.852;0.013;2.381
0.970;0.984;0.984;-1.850;0.011;2.382
0.968;0.982;0.985;-1.851;0.013;2.381
0.973;0.976;0.991;-1.856;0.013;2.374
0.973;0.978;0.993;-1.857;0.015;2.374
0.972;0.978;0.993;-1.857;0.017;2.373
0.973;0.977;0.991;-1.856;0.014;2.374
0.976;0.978;0.988;-1.852;0.012;2.375
0.973;0.976;0.993;-1.858;0.011;2.375
0.975;0.977;0.993;-1.857;0.012;2.374
0.971;0.980;0.992;-1.856;0.012;2.379
0.973;0.979;0.989;-1.854;0.013;2.377
0.972;0.982;0.986;-1.851;0.011;2.380
0.967;0.985;0.989;-1.853;0.013;2.384
0.966;0.983;0.993;-1.857;0.015;2.382
0.970;0.979;0.989;-1.855;0.015;2.378
0.965;0.984;0.991;-1.856;0.019;2.382
0.969;0.980;0.990;-1.855;0.015;2.378
0.970;0.983;0.986;-1.851;0.012;2.380
0.968;0.982;0.991;-1.856;0.015;2.380
0.966;0.981;0.995;-1.859;0.015;2.381
0.967;0.981;0.991;-1.856;0.015;2.381
0.968;0.978;0.997;-1.861;0.017;2.377
0.970;0.977;0.999;-1.862;0.014;2.375
0.962;0.983;0.997;-1.862;0.017;2.384
0.968;0.986;0.988;-1.853;0.011;2.384
0.968;0.986;0.988;-1.853;0.011;2.384
0.966;0.983;0.997;-1.861;0.015;2.381
0.967;0.977;1.001;-1.865;0.016;2.376
0.970;0.978;0.998;-1.862;0.016;2.375
0.972;0.977;0.996;-1.860;0.013;2.376
0.970;0.980;0.992;-1.856;0.014;2.378
0.970;0.980;0.992;-1.856;0.014;2.378
0.976;0.981;0.986;-1.850;0.009;2.378
0.973;0.980;0.990;-1.854;0.013;2.376
0.975;0.979;0.989;-1.853;0.013;2.375
0.973;0.982;0.986;-1.851;0.011;2.379
0.972;0.984;0.985;-1.850;0.011;2.381
0.970;0.983;0.988;-1.852;0.011;2.381
0.970;0.980;0.996;-1.859;0.015;2.377
0.969;0.980;0.993;-1.857;0.013;2.379
0.970;0.971;1.004;-1.868;0.004;2.377
0.973;0.976;0.996;-1.860;0.009;2.376
0.974;0.979;0.992;-1.856;0.012;2.375
0.976;0.973;0.994;-1.858;0.013;2.371
0.967;0.985;0.988;-1.853;0.013;2.384
0.969;0.979;0.992;-1.857;0.013;2.378
0.967;0.985;0.988;-1.853;0.013;2.384
0.966;0.983;0.993;-1.857;0.014;2.383
