MEASURED
translation:
;4;4;0


ESTIMATED;HTC_Vive
REFERENCE;ROOT

vr_base
translation:
;-0.0278097;-0.0171872;1.0852
rotation:
;0.659249;-0.254165;-0.259868;0.658224

ROOT
translation:
;0;0;0
rotation:
;0;0;0;1

tracker3.0_LHR_32DA5600
translation:
;4.02839;4.01206;0.0197256
rotation:
;0.616051;0.787675;0.00655303;-0.00249739

lighthouse_LHB_D5E9E27C
translation:
;-0.0278097;-0.0171872;1.0852
rotation:
;0.649606;-0.25864;-0.255138;0.667849

calibrate
translation:
;1;1;0
rotation:
;0.707107;0.707107;4.32978e-17;4.32978e-17

test_calibrate
translation:
;1;1;4.44089e-16
rotation:
;0.707107;0.707107;1.11022e-16;-2.77556e-17

test_VR_root
translation:
;-0.0737093;0.0287844;1.08285
rotation:
;0.654004;-0.268889;-0.274914;0.65146

tracker3.0_LHR_C9A95141
translation:
;0.819074;3.29296;0.749438
rotation:
;0.902302;0.334996;0.222506;-0.155308

lighthouse_LHB_C3138C5D
translation:
;5.05141;5.06985;1.09717
rotation:
;0.231999;0.664738;0.671059;0.232336

